model,trial,value,state,cv_std,fold_mae,duration_sec,params
ExtraTrees,0,0.005610230807687119,TrialState.COMPLETE,0.0015006605497596786,"[0.003979316980417991, 0.0052496506494466915, 0.007601724793196675]",1.754675,"{""n_estimators"": 300, ""criterion"": ""squared_error"", ""max_depth"": 12, ""min_samples_split"": 2, ""min_samples_leaf"": 8, ""max_features"": ""sqrt"", ""bootstrap"": true}"
ExtraTrees,1,0.005751515058777432,TrialState.COMPLETE,0.0014838536869975628,"[0.004010264780112816, 0.005607858064326348, 0.007636422331893131]",2.781159,"{""n_estimators"": 250, ""criterion"": ""squared_error"", ""max_depth"": 8, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.75, ""bootstrap"": true}"
ExtraTrees,2,0.005626020003553742,TrialState.COMPLETE,0.00149810658017108,"[0.003978963589331065, 0.0052954733150869, 0.00760362310624326]",2.510018,"{""n_estimators"": 450, ""criterion"": ""squared_error"", ""max_depth"": 6, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""bootstrap"": true}"
ExtraTrees,3,0.005703300828126113,TrialState.COMPLETE,0.0014879303627666721,"[0.003975820873204502, 0.005526480907900838, 0.007607600703272997]",1.182843,"{""n_estimators"": 200, ""criterion"": ""friedman_mse"", ""max_depth"": 6, ""min_samples_split"": 14, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": false}"
ExtraTrees,4,0.00560432034406629,TrialState.COMPLETE,0.0015026347288621743,"[0.003979723906749401, 0.0052302874519183935, 0.007602949673531074]",1.760109,"{""n_estimators"": 500, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 12, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""bootstrap"": false}"
ExtraTrees,5,0.005633959438463902,TrialState.COMPLETE,0.001496333848170372,"[0.003980479355943506, 0.005317010190493068, 0.007604388768955135]",2.845089,"{""n_estimators"": 350, ""criterion"": ""squared_error"", ""max_depth"": 24, ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""bootstrap"": true}"
ExtraTrees,6,0.005626693630507423,TrialState.COMPLETE,0.0014980426388710986,"[0.003977703778772445, 0.005299310970226922, 0.007603066142522901]",2.92761,"{""n_estimators"": 450, ""criterion"": ""squared_error"", ""max_depth"": 12, ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""log2"", ""bootstrap"": true}"
ExtraTrees,7,0.005626096922525396,TrialState.COMPLETE,0.0014976726172096812,"[0.003982218789719078, 0.005291410113431012, 0.007604661864426096]",1.836088,"{""n_estimators"": 300, ""criterion"": ""squared_error"", ""max_depth"": 8, ""min_samples_split"": 6, ""min_samples_leaf"": 3, ""max_features"": ""log2"", ""bootstrap"": true}"
ExtraTrees,8,0.005609130977784898,TrialState.COMPLETE,0.0015023247908457448,"[0.003977541909639961, 0.005246406313746016, 0.007603444709968716]",0.943047,"{""n_estimators"": 200, ""criterion"": ""friedman_mse"", ""max_depth"": 6, ""min_samples_split"": 11, ""min_samples_leaf"": 5, ""max_features"": ""log2"", ""bootstrap"": false}"
ExtraTrees,9,0.00561037915266501,TrialState.COMPLETE,0.001501289024507337,"[0.003978936959885845, 0.005249409813394382, 0.007602790684714805]",1.032318,"{""n_estimators"": 150, ""criterion"": ""squared_error"", ""max_depth"": 12, ""min_samples_split"": 3, ""min_samples_leaf"": 8, ""max_features"": ""sqrt"", ""bootstrap"": true}"
ExtraTrees,10,0.005688639448247012,TrialState.COMPLETE,0.001490200103854934,"[0.003972257700062161, 0.005487788399105368, 0.007605872245573509]",4.916872,"{""n_estimators"": 600, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 15, ""min_samples_leaf"": 6, ""max_features"": 1.0, ""bootstrap"": false}"
ExtraTrees,11,0.005825865105455147,TrialState.COMPLETE,0.0015084544527863954,"[0.004046146596735261, 0.005697095979842023, 0.007734352739788156]",23.332866,"{""n_estimators"": 600, ""criterion"": ""friedman_mse"", ""max_depth"": null, ""min_samples_split"": 11, ""min_samples_leaf"": 6, ""max_features"": 0.5, ""bootstrap"": false}"
ExtraTrees,12,0.005620580834713575,TrialState.COMPLETE,0.0014994891721837656,"[0.003977027908778476, 0.005281860851765772, 0.007602853743596477]",2.687909,"{""n_estimators"": 450, ""criterion"": ""friedman_mse"", ""max_depth"": 16, ""min_samples_split"": 11, ""min_samples_leaf"": 6, ""max_features"": ""log2"", ""bootstrap"": false}"
ExtraTrees,13,0.005659100955198573,TrialState.COMPLETE,0.001492881743613261,"[0.003973593894560061, 0.0054007898588841596, 0.007602919112151501]",3.341869,"{""n_estimators"": 500, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 13, ""min_samples_leaf"": 7, ""max_features"": 0.75, ""bootstrap"": false}"
ExtraTrees,14,0.005765255146232401,TrialState.COMPLETE,0.0014825333028335942,"[0.003992752197068757, 0.00568169609167945, 0.007621317149948995]",4.088923,"{""n_estimators"": 350, ""criterion"": ""friedman_mse"", ""max_depth"": 6, ""min_samples_split"": 8, ""min_samples_leaf"": 5, ""max_features"": 1.0, ""bootstrap"": false}"
ExtraTrees,15,0.005650115629852488,TrialState.COMPLETE,0.0014940337169268984,"[0.003975988093972086, 0.005370856027896285, 0.0076035027676890935]",0.960555,"{""n_estimators"": 150, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 16, ""min_samples_leaf"": 4, ""max_features"": 0.5, ""bootstrap"": false}"
ExtraTrees,16,0.005617761810583428,TrialState.COMPLETE,0.0014994923372902015,"[0.00397604429382703, 0.005276171171882575, 0.007601069966040679]",3.615802,"{""n_estimators"": 550, ""criterion"": ""friedman_mse"", ""max_depth"": null, ""min_samples_split"": 9, ""min_samples_leaf"": 7, ""max_features"": ""log2"", ""bootstrap"": false}"
ExtraTrees,17,0.005628148094441832,TrialState.COMPLETE,0.0014982446828140782,"[0.003977060651169747, 0.005303675126906401, 0.007603708505249351]",2.865464,"{""n_estimators"": 400, ""criterion"": ""friedman_mse"", ""max_depth"": 24, ""min_samples_split"": 12, ""min_samples_leaf"": 5, ""max_features"": ""log2"", ""bootstrap"": false}"
ExtraTrees,18,0.005933289541174427,TrialState.COMPLETE,0.0014792454269980193,"[0.0040969722894737114, 0.0059835744646512335, 0.007719321869398337]",6.569839,"{""n_estimators"": 250, ""criterion"": ""friedman_mse"", ""max_depth"": 16, ""min_samples_split"": 8, ""min_samples_leaf"": 3, ""max_features"": 0.75, ""bootstrap"": false}"
ExtraTrees,19,0.0056358899721030975,TrialState.COMPLETE,0.0014962302446484695,"[0.003975293299778486, 0.005330463237484827, 0.007601913379045981]",2.803222,"{""n_estimators"": 500, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 13, ""min_samples_leaf"": 7, ""max_features"": 0.5, ""bootstrap"": false}"
