model,trial,value,state,cv_std,fold_mae,duration_sec,params
RandomForest,0,0.006094167219537125,TrialState.COMPLETE,0.0014738791238817315,"[0.00437884058496399, 0.005926296329561655, 0.007977364744085728]",207.997268,"{""bootstrap"": false, ""n_estimators"": 500, ""criterion"": ""squared_error"", ""max_depth"": 24, ""min_samples_split"": 14, ""min_samples_leaf"": 2, ""max_features"": 0.75}"
RandomForest,1,0.0056584613752261705,TrialState.COMPLETE,0.0014840599103910258,"[0.0039912710794010355, 0.005387969518154711, 0.007596143528122767]",6.311992,"{""bootstrap"": false, ""n_estimators"": 200, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 4, ""min_samples_leaf"": 1, ""max_features"": ""log2""}"
RandomForest,2,0.005827231116645237,TrialState.COMPLETE,0.0015084870727708388,"[0.004079971927483246, 0.005640854169976683, 0.0077608672524757845]",17.691833,"{""bootstrap"": true, ""n_estimators"": 200, ""criterion"": ""squared_error"", ""max_depth"": null, ""min_samples_split"": 16, ""min_samples_leaf"": 7, ""max_features"": ""sqrt"", ""max_samples"": 0.5979914312095727}"
RandomForest,3,0.005888755276301926,TrialState.COMPLETE,0.0014736982241885868,"[0.004191110938945364, 0.00569059011848299, 0.007784564771477424]",47.01672,"{""bootstrap"": false, ""n_estimators"": 300, ""criterion"": ""friedman_mse"", ""max_depth"": 24, ""min_samples_split"": 13, ""min_samples_leaf"": 2, ""max_features"": ""log2""}"
RandomForest,4,0.0061820300828406075,TrialState.COMPLETE,0.0014852663263496527,"[0.004434525682738184, 0.006046477884308674, 0.008065086681474968]",94.342001,"{""bootstrap"": false, ""n_estimators"": 200, ""criterion"": ""squared_error"", ""max_depth"": 24, ""min_samples_split"": 9, ""min_samples_leaf"": 1, ""max_features"": 0.75}"
RandomForest,5,0.005747379298070926,TrialState.COMPLETE,0.0014679121009030182,"[0.004085883934249642, 0.005500294075043816, 0.0076559598849193205]",12.036747,"{""bootstrap"": true, ""n_estimators"": 150, ""criterion"": ""squared_error"", ""max_depth"": 8, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_samples"": 0.9357302950938589}"
RandomForest,6,0.005862221825993472,TrialState.COMPLETE,0.00151311832097339,"[0.004156063404169895, 0.005596793924890162, 0.00783380814892036]",221.864416,"{""bootstrap"": true, ""n_estimators"": 550, ""criterion"": ""friedman_mse"", ""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 1.0, ""max_samples"": 0.6616014660103776}"
RandomForest,7,0.006406275835148097,TrialState.COMPLETE,0.0014571133077007621,"[0.0047089360392434275, 0.006242993659063967, 0.008266897807136898]",128.94426,"{""bootstrap"": false, ""n_estimators"": 300, ""criterion"": ""squared_error"", ""max_depth"": 16, ""min_samples_split"": 2, ""min_samples_leaf"": 3, ""max_features"": 1.0}"
RandomForest,8,0.005863888304171258,TrialState.COMPLETE,0.0014636448367465282,"[0.004171638910181524, 0.005677732368969533, 0.007742293633362715]",53.711163,"{""bootstrap"": false, ""n_estimators"": 500, ""criterion"": ""friedman_mse"", ""max_depth"": 16, ""min_samples_split"": 4, ""min_samples_leaf"": 1, ""max_features"": ""log2""}"
RandomForest,9,0.005712430316708896,TrialState.COMPLETE,0.0014771980322601263,"[0.004068932765593117, 0.0054173273163461355, 0.0076510308681874365]",63.740632,"{""bootstrap"": true, ""n_estimators"": 450, ""criterion"": ""friedman_mse"", ""max_depth"": 8, ""min_samples_split"": 14, ""min_samples_leaf"": 5, ""max_features"": 1.0, ""max_samples"": 0.816550728636634}"
RandomForest,10,0.005669634082461998,TrialState.COMPLETE,0.0014807278651137916,"[0.003990283870345248, 0.0054259488308442015, 0.0075926695461965435]",11.224485,"{""bootstrap"": false, ""n_estimators"": 350, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 9, ""min_samples_leaf"": 8, ""max_features"": ""log2""}"
RandomForest,11,0.005669634082461998,TrialState.COMPLETE,0.0014807278651137916,"[0.003990283870345248, 0.0054259488308442015, 0.0075926695461965435]",10.968156,"{""bootstrap"": false, ""n_estimators"": 350, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 8, ""min_samples_leaf"": 8, ""max_features"": ""log2""}"
RandomForest,12,0.005688011931830827,TrialState.COMPLETE,0.0014783232189599436,"[0.003991145154893144, 0.00547878674326832, 0.0075941038973310155]",12.62964,"{""bootstrap"": false, ""n_estimators"": 400, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 8, ""min_samples_leaf"": 5, ""max_features"": ""log2""}"
RandomForest,13,0.005787815092689751,TrialState.COMPLETE,0.001472208873381711,"[0.0040884818825268595, 0.0055957051233926575, 0.007679258272149735]",21.708896,"{""bootstrap"": false, ""n_estimators"": 250, ""criterion"": ""friedman_mse"", ""max_depth"": 12, ""min_samples_split"": 10, ""min_samples_leaf"": 7, ""max_features"": ""log2""}"
RandomForest,14,0.005734256885609547,TrialState.COMPLETE,0.0014527218871630409,"[0.004082515030736113, 0.0055021046772839735, 0.007618150948808555]",57.781726,"{""bootstrap"": false, ""n_estimators"": 600, ""criterion"": ""friedman_mse"", ""max_depth"": 6, ""min_samples_split"": 6, ""min_samples_leaf"": 4, ""max_features"": 0.5}"
RandomForest,15,0.005675055134824732,TrialState.COMPLETE,0.0014823334832377716,"[0.003989354744576518, 0.0054386558319042475, 0.00759715482799343]",4.880232,"{""bootstrap"": false, ""n_estimators"": 150, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 11, ""min_samples_leaf"": 8, ""max_features"": ""sqrt""}"
RandomForest,16,0.005678739884533611,TrialState.COMPLETE,0.0014794849644755384,"[0.003990806344102523, 0.005451971434220938, 0.007593441875277371]",11.268876,"{""bootstrap"": false, ""n_estimators"": 350, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 7, ""min_samples_leaf"": 6, ""max_features"": ""log2""}"
RandomForest,17,0.005703854517668518,TrialState.COMPLETE,0.0014778607004216056,"[0.0039904230342435835, 0.00552412306415967, 0.0075970174546022996]",7.960239,"{""bootstrap"": false, ""n_estimators"": 250, ""criterion"": ""friedman_mse"", ""max_depth"": 4, ""min_samples_split"": 4, ""min_samples_leaf"": 3, ""max_features"": ""log2""}"
RandomForest,18,0.005707038554108864,TrialState.COMPLETE,0.0014783177925509093,"[0.004012566523199501, 0.005493751752266193, 0.007614797386860898]",7.460368,"{""bootstrap"": true, ""n_estimators"": 350, ""criterion"": ""friedman_mse"", ""max_depth"": 6, ""min_samples_split"": 11, ""min_samples_leaf"": 4, ""max_features"": ""log2"", ""max_samples"": 0.5081843749659086}"
RandomForest,19,0.005790845711699286,TrialState.COMPLETE,0.00147290809310228,"[0.004088437831941304, 0.005602557980475162, 0.0076815413226813895]",34.83301,"{""bootstrap"": false, ""n_estimators"": 400, ""criterion"": ""friedman_mse"", ""max_depth"": 12, ""min_samples_split"": 6, ""min_samples_leaf"": 6, ""max_features"": ""sqrt""}"
